场景,企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,危化品储罐数量,重大危险源数量,消防设施完好率,气体检测仪在线率,高炉容积_m3,煤气柜容量_万m3,铁水包在线数量,炉壳温度测点完好率,煤气报警器覆盖率,抛光工位数量,湿式除尘器数量,粉尘清扫制度执行率,防爆电气覆盖率,静电接地完好率
chemical,CHEM-1-001,瑞祥危化品储运（模拟-蓝）,1011,1,蓝,0,3,694,7,3,49098,73097,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,4,0,0.94,0.9,,,,,,,,,,
chemical,CHEM-1-002,远东危化品储运（模拟-蓝）,1012,1,蓝,0,3,798,4,2,39198,111604,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,1,0,0.94,0.92,,,,,,,,,,
chemical,CHEM-1-003,盛泰危化品储运（模拟-蓝）,1013,1,蓝,0,3,656,7,3,47425,171363,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,7,0,0.97,0.92,,,,,,,,,,
chemical,CHEM-1-004,恒源危化品储运（模拟-蓝）,1014,1,蓝,0,3,46,1,0,46253,111785,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,6,1,0.94,1.0,,,,,,,,,,
chemical,CHEM-1-005,新能危化品储运（模拟-蓝）,1015,1,蓝,0,3,384,4,2,25398,26353,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,6,1,0.99,0.98,,,,,,,,,,
chemical,CHEM-1-006,华安危化品储运（模拟-蓝）,1016,1,蓝,0,3,787,5,2,25307,21656,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,5,2,0.99,0.99,,,,,,,,,,
chemical,CHEM-1-007,金源危化品储运（模拟-蓝）,1017,1,蓝,0,3,631,6,3,3503,174346,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,4,1,1.0,0.99,,,,,,,,,,
chemical,CHEM-1-008,宏达精细化工（模拟-蓝）,1018,1,蓝,0,4,143,1,0,30214,167640,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,6,0,0.97,0.91,,,,,,,,,,
chemical,CHEM-1-009,瑞祥精细化工（模拟-蓝）,1019,1,蓝,0,3,313,1,0,40420,167455,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,3,2,1.0,0.91,,,,,,,,,,
chemical,CHEM-1-010,远东精细化工（模拟-蓝）,1020,1,蓝,0,3,428,3,1,45366,86008,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,1,0,1.0,0.98,,,,,,,,,,
chemical,CHEM-1-011,盛泰精细化工（模拟-蓝）,1021,1,蓝,0,3,450,3,1,14326,149682,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,6,0,0.99,0.94,,,,,,,,,,
chemical,CHEM-1-012,恒源精细化工（模拟-蓝）,1022,1,蓝,0,3,698,5,2,17859,37603,0,例行巡检未发现异常，可燃气体浓度处于正常范围，消防设施完好,维持日常巡检与气体检测记录归档,A级,大型,危险化学品,化学原料和化学制品制造业,4,2,0.98,0.92,,,,,,,,,,
dust,DUST-1-001,联创铝镁粉尘制品厂（模拟-蓝）,3011,1,蓝,0,3,151,1,0,12965,141584,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,9,2,0.89,0.9,0.88
dust,DUST-1-002,宏粉尘铝镁粉尘制品厂（模拟-蓝）,3012,1,蓝,0,3,117,1,0,3815,171955,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,10,1,0.98,0.99,0.95
dust,DUST-1-003,顺达铝镁粉尘制品厂（模拟-蓝）,3013,1,蓝,0,4,210,1,0,32046,57032,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,8,1,0.85,0.86,0.89
dust,DUST-1-004,新铝铝镁粉尘制品厂（模拟-蓝）,3014,1,蓝,0,4,505,4,2,46151,192497,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,10,6,0.94,0.88,0.88
dust,DUST-1-005,泰和铝镁粉尘制品厂（模拟-蓝）,3015,1,蓝,0,3,99,1,0,49519,83209,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,2,1,0.92,0.93,0.95
dust,DUST-1-006,瑞丰铝镁粉尘制品厂（模拟-蓝）,3016,1,蓝,0,3,201,2,1,12678,18962,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,3,6,0.96,0.91,0.96
dust,DUST-1-007,广益铝镁粉尘制品厂（模拟-蓝）,3017,1,蓝,0,3,623,5,2,41091,22491,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,8,6,0.92,0.93,0.96
dust,DUST-1-008,鑫源抛光车间（模拟-蓝）,3018,1,蓝,0,4,249,1,0,16142,70629,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,8,2,0.93,0.9,0.88
dust,DUST-1-009,联创抛光车间（模拟-蓝）,3019,1,蓝,0,4,114,1,0,41208,148585,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,3,1,0.91,0.93,0.86
dust,DUST-1-010,宏粉尘抛光车间（模拟-蓝）,3020,1,蓝,0,3,397,2,1,16509,97869,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,6,2,0.9,0.93,0.88
dust,DUST-1-011,顺达抛光车间（模拟-蓝）,3021,1,蓝,0,3,709,4,2,44269,146385,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,6,6,0.84,0.98,0.88
dust,DUST-1-012,新铝抛光车间（模拟-蓝）,3022,1,蓝,0,3,149,1,0,18348,74860,0,湿式除尘运行正常，粉尘清扫制度执行到位，电气防爆符合要求,保持每日粉尘清扫与除尘系统水位记录,A级,大型,粉尘涉爆,金属制品业,,,,,,,,,,5,6,0.88,0.95,0.95
metallurgy,META-1-001,宝钢钢铁炼铁厂（模拟-蓝）,2011,1,蓝,0,4,638,4,2,24223,58493,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,1200,20,3,0.95,0.99,,,,,
metallurgy,META-1-002,龙腾钢铁炼铁厂（模拟-蓝）,2012,1,蓝,0,3,196,1,0,45096,111666,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,800,17,8,0.94,0.96,,,,,
metallurgy,META-1-003,华冶钢铁炼铁厂（模拟-蓝）,2013,1,蓝,0,3,297,1,0,45083,189932,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,800,13,12,0.91,0.94,,,,,
metallurgy,META-1-004,鑫钢钢铁炼铁厂（模拟-蓝）,2014,1,蓝,0,3,201,1,0,47823,189659,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,2000,10,10,0.97,0.99,,,,,
metallurgy,META-1-005,中联钢铁炼铁厂（模拟-蓝）,2015,1,蓝,0,3,345,1,0,10516,99019,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,1200,5,11,0.91,0.92,,,,,
metallurgy,META-1-006,北方钢铁炼铁厂（模拟-蓝）,2016,1,蓝,0,4,411,2,1,16192,16184,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,1200,7,3,0.95,0.98,,,,,
metallurgy,META-1-007,扬子钢铁炼铁厂（模拟-蓝）,2017,1,蓝,0,3,585,3,1,8914,173949,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,3200,10,6,0.93,0.97,,,,,
metallurgy,META-1-008,金泰轧钢厂（模拟-蓝）,2018,1,蓝,0,3,256,1,0,47223,82714,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,3200,16,9,0.97,0.95,,,,,
metallurgy,META-1-009,宝钢轧钢厂（模拟-蓝）,2019,1,蓝,0,3,293,2,1,22656,6514,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,1200,12,2,0.88,0.97,,,,,
metallurgy,META-1-010,龙腾轧钢厂（模拟-蓝）,2020,1,蓝,0,3,274,3,1,22154,19574,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,1200,13,12,0.93,0.96,,,,,
metallurgy,META-1-011,华冶轧钢厂（模拟-蓝）,2021,1,蓝,0,4,780,3,1,16425,124987,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,3200,11,3,0.89,0.95,,,,,
metallurgy,META-1-012,鑫钢轧钢厂（模拟-蓝）,2022,1,蓝,0,4,473,3,1,48280,15200,0,高炉运行平稳，煤气系统压力与成分均在正常区间,按规程开展炉顶与煤气系统日常点检,A级,大型,冶金,黑色金属冶炼和压延加工业,,,,,800,6,8,0.95,0.98,,,,,
chemical,CHEM-2-001,瑞祥危化品储运（模拟-黄）,1021,2,黄,0,3,557,3,1,3829,25195,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,7,2,0.82,0.82,,,,,,,,,,
chemical,CHEM-2-002,远东危化品储运（模拟-黄）,1022,2,黄,0,3,173,1,0,11089,195309,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,8,3,0.89,0.84,,,,,,,,,,
chemical,CHEM-2-003,盛泰危化品储运（模拟-黄）,1023,2,黄,0,2,154,1,0,36255,10444,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,6,3,0.87,0.83,,,,,,,,,,
chemical,CHEM-2-004,恒源危化品储运（模拟-黄）,1024,2,黄,0,3,82,1,0,3114,94797,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,4,3,0.84,0.79,,,,,,,,,,
chemical,CHEM-2-005,新能危化品储运（模拟-黄）,1025,2,黄,0,3,613,3,1,41175,197471,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,3,1,0.9,0.89,,,,,,,,,,
chemical,CHEM-2-006,华安危化品储运（模拟-黄）,1026,2,黄,0,3,221,1,0,2124,48018,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,6,2,0.89,0.88,,,,,,,,,,
chemical,CHEM-2-007,金源危化品储运（模拟-黄）,1027,2,黄,0,2,294,2,1,46458,29336,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,7,1,0.9,0.8,,,,,,,,,,
chemical,CHEM-2-008,宏达精细化工（模拟-黄）,1028,2,黄,0,3,511,4,2,15415,59438,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,1,3,0.83,0.82,,,,,,,,,,
chemical,CHEM-2-009,瑞祥精细化工（模拟-黄）,1029,2,黄,0,3,111,1,0,23512,169160,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,7,3,0.91,0.84,,,,,,,,,,
chemical,CHEM-2-010,远东精细化工（模拟-黄）,1030,2,黄,0,3,68,1,0,12202,153198,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,5,1,0.83,0.83,,,,,,,,,,
chemical,CHEM-2-011,盛泰精细化工（模拟-黄）,1031,2,黄,0,3,786,4,2,29099,159914,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,2,2,0.9,0.8,,,,,,,,,,
chemical,CHEM-2-012,恒源精细化工（模拟-黄）,1032,2,黄,0,3,85,1,0,610,137293,1,2号储罐区气体检测仪偶发低报，已安排校验，通风系统运行正常,48小时内完成检测仪校验并复核通风联锁,B级,中型,危险化学品,化学原料和化学制品制造业,4,2,0.86,0.89,,,,,,,,,,
dust,DUST-2-001,联创铝镁粉尘制品厂（模拟-黄）,3021,2,黄,0,3,752,9,4,31759,2545,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,7,3,0.84,0.87,0.86
dust,DUST-2-002,宏粉尘铝镁粉尘制品厂（模拟-黄）,3022,2,黄,0,2,469,3,1,32496,58520,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,6,4,0.8,0.8,0.82
dust,DUST-2-003,顺达铝镁粉尘制品厂（模拟-黄）,3023,2,黄,0,2,454,2,1,31130,34456,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,10,1,0.87,0.83,0.82
dust,DUST-2-004,新铝铝镁粉尘制品厂（模拟-黄）,3024,2,黄,0,3,125,1,0,9393,122031,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,4,1,0.76,0.79,0.8
dust,DUST-2-005,泰和铝镁粉尘制品厂（模拟-黄）,3025,2,黄,0,3,385,2,1,18735,198134,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,8,3,0.85,0.81,0.83
dust,DUST-2-006,瑞丰铝镁粉尘制品厂（模拟-黄）,3026,2,黄,0,2,93,1,0,43107,18987,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,2,1,0.87,0.78,0.74
dust,DUST-2-007,广益铝镁粉尘制品厂（模拟-黄）,3027,2,黄,0,2,196,1,0,31535,176494,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,3,5,0.87,0.81,0.77
dust,DUST-2-008,鑫源抛光车间（模拟-黄）,3028,2,黄,0,2,417,4,2,11232,82536,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,3,5,0.72,0.79,0.82
dust,DUST-2-009,联创抛光车间（模拟-黄）,3029,2,黄,0,2,424,3,1,5480,156214,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,5,1,0.83,0.79,0.82
dust,DUST-2-010,宏粉尘抛光车间（模拟-黄）,3030,2,黄,0,2,163,1,0,23254,140655,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,8,6,0.78,0.82,0.78
dust,DUST-2-011,顺达抛光车间（模拟-黄）,3031,2,黄,0,3,470,2,1,7416,114645,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,7,6,0.86,0.81,0.76
dust,DUST-2-012,新铝抛光车间（模拟-黄）,3032,2,黄,0,3,220,1,0,40864,142078,1,部分工位粉尘浓度监测偏高，湿式除尘水位需定期复核,一周内完成高浓度工位除尘能力评估与增湿措施,B级,中型,粉尘涉爆,金属制品业,,,,,,,,,,9,4,0.79,0.85,0.77
metallurgy,META-2-001,宝钢钢铁炼铁厂（模拟-黄）,2021,2,黄,0,3,378,2,1,43975,33669,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,,,,,2000,14,12,0.81,0.84,,,,,
metallurgy,META-2-002,龙腾钢铁炼铁厂（模拟-黄）,2022,2,黄,0,2,342,2,1,13072,111217,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,,,,,3200,10,11,0.83,0.84,,,,,
metallurgy,META-2-003,华冶钢铁炼铁厂（模拟-黄）,2023,2,黄,0,3,40,1,0,14274,113692,1,TRT机组振动值略高但在可控范围，已列入维保计划,安排TRT机组专项维保并复核振动监测阈值,B级,中型,冶金,黑色金属冶炼和压延加工业,,,,,2000,19,9,0.81,0.82,,,,,
