"时间戳","主键ID","行业分类ID","监管企业大类","监管企业小类","粉尘种类","粉尘种类小类","集中除尘系统干式数量","集中除尘系统湿式数量","单班涉粉作业人数","钢铁企业json数据","高炉数量","高炉信息","转炉数量","转炉信息","电炉数量","电炉信息","煤气柜数量","煤气柜信息","氨罐数量","氨罐信息","铝加工企业json数据","深井浇筑系统数量","钢丝绳式提升装置数量","液压式提升装置数量","熔炼炉事故联锁装置","流槽及铸造系统事故联锁装置","存在附属污水处理设施设备企业","存在造纸企业","存在酱腌菜企业","删除标识","备注","上报历史id","所选设备","涉炉企业内容","粉尘涉爆企业内容","有限空间企业内容","钢铁企业内容","铝加工企业内容","危化品企业内容","创建人","修改人","创建时间","更新时间"
2025-06-19 20:13:30.000,"0de53377ddf140419f7cc77f655fdb22",,SUPE_CORP_E,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,e016cf583a3f4daa8bb35d8b618a5132,,,,,,,,admin,admin,2022-01-20 00:00:00.000,2022-01-20 00:00:00.000
2025-06-19 20:13:12.000,"0de5593019e64dc2b8061f6922cd745d",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"6d437178131146c990ad5a637527aaab",,,,,,,,admin,admin,2024-01-03 00:00:00.000,2024-01-03 00:00:00.000
2025-06-19 20:13:21.000,"0de56e200b154453beeacf9e4fc95eef",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,c29cc028fa7c4b01a73bcf3cabe067f0,,,,,,,,admin,admin,2023-11-15 00:00:00.000,2023-11-15 00:00:00.000
2025-06-19 20:13:08.000,"0de570933e5a4ce4b82000cff17a223f",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"3b4a6ee59c4a462294a0161d8d584f77",,,,,,,,admin,admin,2023-02-08 00:00:00.000,2023-02-08 00:00:00.000
2025-06-19 20:13:13.000,"0de57d1cdcf24210904b670cdf04ead5",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"7df4e67855a64168b352d13d12b97994",,,,,,,,admin,admin,2022-01-13 00:00:00.000,2022-01-13 00:00:00.000
2025-06-19 20:13:19.000,"0de588d0e0094039bbe21256f7321841",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,aaf3f13a8dfd453f91f9f4f12ac43224,,,,,,,,admin,admin,2023-02-11 00:00:00.000,2023-02-11 00:00:00.000
2025-06-19 20:13:07.000,"0de64b7271cc44d68dc4b87778070d13",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"2d42314645194a769858c26b4efdf3bb",,,,,,,,admin,admin,2022-01-11 00:00:00.000,2022-01-11 00:00:00.000
2025-06-19 20:13:32.000,"0de6ffc950c04f6e87c89a2638704b3e",,SUPE_CORP_H,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"8f1c14762cb44c17aa678dc69e6edf83",,,,,,,"{""newWeihuaList"":[{""city"":""320500"",""county"":""320583"",""createTime"":1739325709000,""hazardousCount"":1,""hazardousDetailList"":[{""actualityPresence"":0.1,""cas"":""/"",""chemicalName"":""含易燃溶剂的合成树脂、油漆、辅助材料、涂料等制品[闪点＜23℃和初沸点≤35℃]"",""chemicalStatus"":""0"",""chemicalsKnowledge"":{""bh"":"""",""bzwx"":"""",""cczysx"":"""",""cjr"":"""",""czzysx"":"""",""fgxx"":"""",""fj"":"""",""flxx"":"""",""hjwh"":"""",""jkwh"":"""",""mbbh"":"""",""mc"":"""",""mhff"":"""",""orgId"":"""",""pfjc"":"""",""qrtj"":"""",""recorderId"":"""",""sfgz"":"""",""sfgzName"":"""",""sfwx"":"""",""sfyb"":"""",""sfybName"":"""",""sfyd"":"""",""sfydName"":"""",""sr"":"""",""whpbh"":"""",""wxtx"":"""",""wxxlb"":"""",""xgr"":"""",""xr"":"""",""yhrscw"":"""",""yjcl"":"""",""yjjc"":"""",""ywmc"":"""",""ywmc2"":"""",""ywxtbh"":""""},""createTime"":1739325709000,""criticalQuantity"":10,""dangerInfo"":"""",""id"":""8aae073294ed6a5e0194f7e419535890"",""isYazl"":"""",""purpose"":""1"",""reserves"":0,""storageType"":""4"",""storehouseType"":"""",""unitId"":""8aae073294ed6a5e0194f7e41916588f"",""updateTime"":1739325709000,""yearUsage"":0}],""id"":""8aae073294ed6a5e0194f7e41916588f"",""isYazl"":""0"",""province"":""320000"",""riskId"":""76324ac92e9da298cca7ab42aedc8327"",""riskLevel"":""C"",""riskName"":""（100315）易燃易爆场所动火作业"",""sValue"":0.01,""seqNo"":1,""subdistrict"":""320583105"",""unitName"":""上胶车间"",""updateTime"":1739325709000,""uuitNo"":""91320583739428304F""},{""city"":""320500"",""county"":""320583"",""createTime"":1739325709000,""hazardousCount"":1,""hazardousDetailList"":[{""actualityPresence"":0.1,""cas"":""/"",""chemicalName"":""含易燃溶剂的合成树脂、油漆、辅助材料、涂料等制品[闪点＜23℃和初沸点＞35℃]"",""chemicalStatus"":""0"",""chemicalsKnowledge"":{""bh"":"""",""bzwx"":"""",""cczysx"":"""",""cjr"":"""",""czzysx"":"""",""fgxx"":"""",""fj"":"""",""flxx"":"""",""hjwh"":"""",""jkwh"":"""",""mbbh"":"""",""mc"":"""",""mhff"":"""",""orgId"":"""",""pfjc"":"""",""qrtj"":"""",""recorderId"":"""",""sfgz"":"""",""sfgzName"":"""",""sfwx"":"""",""sfyb"":"""",""sfybName"":"""",""sfyd"":"""",""sfydName"":"""",""sr"":"""",""whpbh"":"""",""wxtx"":"""",""wxxlb"":"""",""xgr"":"""",""xr"":"""",""yhrscw"":"""",""yjcl"":"""",""yjjc"":"""",""ywmc"":"""",""ywmc2"":"""",""ywxtbh"":""""},""createTime"":1739325709000,""criticalQuantity"":1000,""dangerInfo"":"""",""id"":""8aae073294ed6a5e0194f7e419585892"",""isYazl"":"""",""purpose"":""1"",""reserves"":0,""storageType"":""4"",""storehouseType"":"""",""unitId"":""8aae073294ed6a5e0194f7e419545891"",""updateTime"":1739325709000,""yearUsage"":0}],""id"":""8aae073294ed6a5e0194f7e419545891"",""isYazl"":""0"",""province"":""320000"",""riskId"":""3662cde20c9b5d74e5e0841c5ca84bbf"",""riskLevel"":""D"",""riskName"":""（100311）储存场所危险化学品泄漏"",""sValue"":0,""seqNo"":2,""subdistrict"":""320583105"",""unitName"":""上胶间"",""updateTime"":1739325709000,""uuitNo"":""91320583739428304F""}],""weihuaList"":[]}",admin,admin,2025-02-12 00:00:00.000,2025-02-12 00:00:00.000
2025-06-19 20:13:02.000,"0de711462571443880f7e318f6145bad",,SUPE_CORP_C,,,,,,,"{""dianluList"":[{""typeNum"":"""",""typeSpec"":""""}],""gaoluList"":[{""typeNum"":"""",""typeSpec"":""""}],""meiqiList"":[{""typeNum"":"""",""typeSpec"":""""}],""zhuanluList"":[{""typeNum"":"""",""typeSpec"":""""}]}",0,,0,,0,,0,,0,,"{""gudingshiList"":[{""typeNum"":"""",""typeSpec"":""""}],""qidongshiList"":[{""typeNum"":"""",""typeSpec"":""""}]}",,,,,,"1","0","0","0",,"356497da22e141a995b20fd6ff53dd2d",,,,"{""chulishebeiList"":[],""ifzuoye"":""1"",""youxiankongjianNum"":""2""}",,,,admin,admin,2024-01-15 00:00:00.000,2024-01-15 00:00:00.000
2025-06-19 20:13:02.000,"0de7e41542034bff961e4d30b2ac0a37",,SUPE_CORP_C,,,,,,,"{""dianluList"":[{""typeNum"":"""",""typeSpec"":""""}],""gaoluList"":[{""typeNum"":"""",""typeSpec"":""""}],""meiqiList"":[{""typeNum"":"""",""typeSpec"":""""}],""zhuanluList"":[{""typeNum"":"""",""typeSpec"":""""}]}",0,,0,,0,,0,,0,,"{""gudingshiList"":[{""typeNum"":"""",""typeSpec"":""""}],""qidongshiList"":[{""typeNum"":"""",""typeSpec"":""""}]}",,,,,,"1","0","0","0",,e533cda740244c938ed7599e9cc9c326,,,,"{""chulishebeiList"":[],""ifzuoye"":""1"",""youxiankongjianNum"":""1""}",,,,admin,admin,2024-01-16 00:00:00.000,2024-01-16 00:00:00.000
2025-06-19 20:13:05.000,"0de7e47ebcc94347b744f80472c8c66f",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"0df2268401b34d7286aadc89ec0cc352",,,,,,,,admin,admin,2023-03-15 00:00:00.000,2023-03-15 00:00:00.000
2025-06-19 20:13:20.000,"7094cb20130c416193aa27baeabb773f",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,b4337dd166e04bc1ba6d4336146d3ca2,,,,,,,,admin,admin,2022-03-11 00:00:00.000,2022-03-11 00:00:00.000
2025-06-19 20:13:31.000,"0de7ec2569534f44aa0f9d483072465e",,SUPE_CORP_H,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"2069eac0627a4be18f4bbd4e197f66af",,,,,,,"{""newWeihuaList"":[{""city"":""320500"",""county"":""320582"",""createTime"":1737201644000,""hazardousCount"":1,""hazardousDetailList"":[{""actualityPresence"":0.01,""cas"":""/"",""chemicalName"":""含易燃溶剂的合成树脂、油漆、辅助材料、涂料等制品[闪点＜23℃和初沸点≤35℃]"",""chemicalStatus"":""1"",""chemicalsKnowledge"":{""bh"":"""",""bzwx"":"""",""cczysx"":"""",""cjr"":"""",""czzysx"":"""",""fgxx"":"""",""fj"":"""",""flxx"":"""",""hjwh"":"""",""jkwh"":"""",""mbbh"":"""",""mc"":"""",""mhff"":"""",""orgId"":"""",""pfjc"":"""",""qrtj"":"""",""recorderId"":"""",""sfgz"":"""",""sfgzName"":"""",""sfwx"":"""",""sfyb"":"""",""sfybName"":"""",""sfyd"":"""",""sfydName"":"""",""sr"":"""",""whpbh"":"""",""wxtx"":"""",""wxxlb"":"""",""xgr"":"""",""xr"":"""",""yhrscw"":"""",""yjcl"":"""",""yjjc"":"""",""ywmc"":"""",""ywmc2"":"""",""ywxtbh"":""""},""createTime"":1737201644000,""criticalQuantity"":10,""dangerInfo"":"""",""id"":""8aae0732946e279701947949700777b2"",""isYazl"":"""",""purpose"":""1"",""reserves"":0,""storageType"":""4"",""storehouseType"":"""",""unitId"":""8aae0732946e279701947949700677b1"",""updateTime"":1737201644000,""yearUsage"":0}],""id"":""8aae0732946e279701947949700677b1"",""isYazl"":""0"",""province"":""320000"",""riskId"":""049f4fa5247e433abd6ebb1584e2f0fb"",""riskLevel"":""D"",""riskName"":""（100311）储存场所危险化学品泄漏"",""sValue"":0,""seqNo"":1,""subdistrict"":""320582105"",""unitName"":""油墨存放区"",""updateTime"":1737201644000,""uuitNo"":""91320582398366706L""}],""weihuaList"":[]}",admin,admin,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000
2025-06-19 20:13:07.000,"0de86630c7f6499abfc5522a08b1a8c9",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"2cb2e7a046bf4f6fbcad23e000986f48",,,,,,,,admin,admin,2025-02-13 00:00:00.000,2025-02-13 00:00:00.000
2025-06-19 20:13:20.000,"7094f298d8924fb69101e7ca006ce151",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,b9ca7dec6d3845bc9c87737863d57c6e,,,,,,,,admin,admin,2025-02-25 00:00:00.000,2025-02-25 00:00:00.000
2025-06-19 20:13:07.000,"0de89efba42c4101bd2f4b6887530de8",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"2e76fc4241904852b3c37107d54095c7",,,,,,,,admin,admin,2022-03-08 00:00:00.000,2022-03-08 00:00:00.000
2025-06-19 20:12:58.000,"7094fe3ec0ca4ce0840473933270d898",,SUPE_CORP_B,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"31c3f4fe1b104aad894b139e4a8ae78e",,,"{""danbanzuoyerenyuan"":""1"",""fenchenliang"":""50"",""fenchenzhonglei"":[""DUST_TYPE_26""],""ganshichuchenxitong"":""1"",""jindianji"":""0"",""mufenchenji"":""3"",""paoguangji"":"""",""pgssytj"":""0"",""pwpsj"":""0"",""qitazhonglei"":"""",""sfzyrs"":""8"",""shishichuchenxitong"":""0""}",,,,,admin,admin,2025-01-09 00:00:00.000,2025-01-09 00:00:00.000
2025-06-19 20:13:13.000,"0de8bf84145243afbcc1b0f49af61754",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"765589a1f3344ea48c1025348c7883ab",,,,,,,,admin,admin,2022-02-23 00:00:00.000,2022-02-23 00:00:00.000
2025-06-19 20:13:13.000,"709500ffb74d4b7ea71153fb5fab2bad",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"7f9f942838a145a0b7f742d7653f6899",,,,,,,,admin,admin,2022-03-11 00:00:00.000,2022-03-11 00:00:00.000
2025-06-19 20:13:25.000,"0de8ed12f0594f3e875a4ead10bba408",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,fdb6bd18aac244c59de88ad052dd951c,,,,,,,,admin,admin,2024-02-29 00:00:00.000,2024-02-29 00:00:00.000
2025-06-19 20:13:13.000,"70950146bab64b09b882b02e78e0357a",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"794e08f180c348a38541dc1ac90e154a",,,,,,,,admin,admin,2024-03-08 00:00:00.000,2024-03-08 00:00:00.000
2025-06-19 20:13:06.000,"0de90bc2d4174466bab96a4792845cd8",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"20116334ed3940fd846f63f629779b99",,,,,,,,admin,admin,2024-01-19 00:00:00.000,2024-01-19 00:00:00.000
2025-06-19 20:13:01.000,"70951691d2e34f7f9db99ad1fa624eaa",,SUPE_CORP_C,,,,,,,"{""dianluList"":[{""typeNum"":"""",""typeSpec"":""""}],""gaoluList"":[{""typeNum"":"""",""typeSpec"":""""}],""meiqiList"":[{""typeNum"":"""",""typeSpec"":""""}],""zhuanluList"":[{""typeNum"":"""",""typeSpec"":""""}]}",0,,0,,0,,0,,0,,"{""gudingshiList"":[{""typeNum"":"""",""typeSpec"":""""}],""qidongshiList"":[{""typeNum"":"""",""typeSpec"":""""}]}",,,,,,"0","0","0","0",,"5548abf466d74c1da8667ccb0f317fca",,,,"{""chulishebeiList"":[],""ifzuoye"":""0"",""youxiankongjianNum"":""2""}",,,,admin,admin,2024-01-16 00:00:00.000,2024-01-16 00:00:00.000
2025-06-19 20:13:05.000,"0de92168eb72493c8a4fe3a8cc531196",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"10938b94eb2a430c8086ec17ce440da0",,,,,,,,admin,admin,2022-03-03 00:00:00.000,2022-03-03 00:00:00.000
2025-06-19 20:13:22.000,"0de942c7d956461e84412773d04c10ed",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,caf6354996684180a6c0f3a836971d43,,,,,,,,admin,admin,2023-03-13 00:00:00.000,2023-03-13 00:00:00.000
2025-06-19 20:13:14.000,"44c27ffdb22846d3a8aa6fc9d2896c42",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"83a7e536a092404695445ba6fca7a28b",,,,,,,,admin,admin,2023-03-21 00:00:00.000,2023-03-21 00:00:00.000
2025-06-19 20:13:14.000,"44c2d17ae13842c0bf81acb6470e1978",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"892aff69ad5c4ce9873265706e3517c9",,,,,,,,admin,admin,2023-03-01 00:00:00.000,2023-03-01 00:00:00.000
2025-06-19 20:13:25.000,"44c32309f9fc4d1e88901d6417730b8d",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,f405c78ea460427a9aca27eaa265d817,,,,,,,,admin,admin,2023-02-13 00:00:00.000,2023-02-13 00:00:00.000
2025-06-19 20:13:18.000,"44c37618145840bdb5d0ad21be54b9dd",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"95785c3aaed44626979827db8bb7433b",,,,,,,,admin,admin,2023-02-03 00:00:00.000,2023-02-03 00:00:00.000
