"时间戳","市","企业历史id","区、县","备注","地址名称","省","街道、乡镇","是否为主要","主键id","详细地址","创建人","修改人","创建时间","修改时间","排序","删除标识","统一社会信用代码","经度","纬度"
2026-03-16 20:03:11.000,"320500",df45e9e314ae413fb0bffbaddd3cab32,"320506","8aae07328cce4610018cd7f9042463b0",苏州市金宇建材有限公司,"","320506109","1","0000092d487b496d9f7007db79307bf7",蒋东村,admin,admin,2024-01-16,2024-01-16,1,"0","913205067500200512","120.300000","31.300000"
2026-03-16 20:03:11.000,"320500","1edab8a6dfb446129ebc791400785530","320583","8aae07368d0b1c60018d1508fef60b4c",昆山泓源昌印刷器材有限公司,"320000","320583499","1","00001936334c4be6b1220b7f9fd39655",山淞路297号安瑞特工业园7号楼3层东,admin,admin,2024-01-17,2024-01-17,1,"0","91320583787655317E","120.896191","31.330545"
2026-03-16 20:03:11.000,"320500","289797a2796642a5a2fbfa65d859123d","320506",ff8080818708b41801870c51f96c1e23,苏州双宏电子有限公司,"320000","320506104","1","00001cd3d8eb4d88ade85fc168c02848",灵山路679号，4楼。,admin,admin,2023-03-23,2023-03-23,1,"0","913205065925954811","120.500982","31.230716"
2026-03-16 20:03:11.000,"320500","1539639ce0cf43c6a45299339441fc14","320581","8aae073694fe7aad0195169cc2d072eb","1幢","320000","320581002","1","00001f086a0e4d5aa008a73f56774e26",毛桥村,admin,admin,2025-02-18,2025-02-18,1,"0","91320581585541557N","120.739025","31.701209"
2026-03-16 20:03:11.000,"320500",bc3db9bc4f374b7faa37d67e2d66cd65,"320506",a87a63612c3f4a30957e6358a1006a02,澄北村积岸666号,"320000","320506100","1","0000a2385d3e4ec9844c21aac81e2ea4",澄北村积岸666号,admin,admin,2026-01-06,2026-01-06,1,"0","92320506MA1W7J0LXM","120.834353","31.254667"
2026-03-16 20:03:11.000,"320500","6cd8a43de58c4433aa3b30d95042499e","320507","501fabc8353849e4affc9db586ec7f1a",苏州市春秋窗饰有限公司,"","320507002","1","0000bef7e8dc403da8a2d2c14f7a8595",苏州市相城区太平街道聚金村（工业园聚金路1号）,admin,admin,2025-02-24,2025-02-24,1,"0","91320507713229251C","120.681636","31.413237"
2026-03-16 20:03:11.000,"320500",f7249c7cbc7a4ee58691db21aaf3ff8d,"320581","8aae07378cd32a7e018cd701786929b8",耐力拉链,"","320581110","1","0000de1f44a247d69e54a86372797eea",辛西路3号,admin,admin,2024-01-08,2024-01-08,1,"0","91320508MA1UYML213","120.679402","31.531211"
2026-03-16 20:03:11.000,"320500","743fd95f631641eb81792f19a4823764","320583",c34e72780c074c9fb82a11f5edf9331a,千灯镇玉溪西路200号,"","320583108","1","0000fac75d42401e917343d505b87102",玉溪西路200号,admin,admin,2024-01-09,2024-01-09,1,"0","91320583MA1T8N714F","118.764369","33.062238"
2026-03-16 20:03:11.000,"320500","18d4fc2c78e948b58daea68859f245c6","320507","78b5607c96d74c1b8cfd350e84badb78",胡湾路,"320000","320507003","1","00010261e0604a3391f85f2236ed47cd",胡湾村,admin,admin,2023-01-04,2023-01-04,1,"0","91320507X322835780","120.564075","31.395153"
2026-03-16 20:03:11.000,"320500","91c40b03f00b4b5b91f61e96cdd005dc","320581",hmpj9uu4skg0000000,殷明坊红木,,"320581202","1","000119739fe44524babf8a164248f70e",常熟汇福路16号,admin,admin,2024-02-18,2026-01-01,1,"0","91320500MA1WQJ5B38","120.770108","31.797025"
2026-03-16 20:03:11.000,"320500",f9e92725dc79402494733014c6dc6060,"320506","8aae073b9be01fb4019c4bdde5861f07",木东路317号联东u谷,,"320506103","1","00013edca845462aac697b9a532ef1b4",木东路317号联东u谷,admin,admin,2026-02-12,2026-02-12,1,"0","91320506MA1ME2TX5U","120.514352","31.232952"
2026-03-16 20:03:11.000,"320500","9ac84a189a1d4aebb97170a3783a5a54","320509","092707e5a9274062b1a9689dd1a79661",厂区,"320000","320509105","1","000142beeaf8412c9bc2e3ed00c15f11",东方中路299号,admin,admin,2025-01-15,2025-01-15,1,"0","913205097855746790","120.672344","30.912505"
2026-03-16 20:03:11.000,"320500","71be4025f56246068155a6507c4193d3","320583","8aae073b94ed6cac0194f2a4f1c42926",昆山名瑞电子科技有限公司,"320000","320583102","1","000199ce37084b0db3abad6164a2481b",万安路339号1号厂房,admin,admin,2025-02-15,2025-02-15,1,"0","91320583MA1NJYPEX2","120.999591","31.476745"
2026-03-16 20:03:11.000,"320500",b8f87bf3aea942c297976e9bfd2ff112,"320506",b04f9791fa7e4dcf81700ce5bf24eb29,苏州吴中区光福镇福利村,,"320506108","1","00019ba8510e439da4f5b2c760e8bf9d",苏州市吴中区光福镇福利村（刘家）,admin,admin,2026-01-09,2026-01-09,1,"0","913205053212971758","120.423402","31.297186"
2026-03-16 20:03:11.000,"320500","86466e1fceb54d3daf33922a96301667","320582","8aae0736942b9bb80194486b5dba2b25",苏州乔顺精密机械有限公司,"320000","320582199","1","00020e3eabee4e1492c555d68c6fdfdb",常南社区,admin,admin,2025-02-05,2025-02-05,1,"0","91320582MA1WRB5L92","120.681572","31.476662"
2026-03-16 20:03:11.000,"320500","45041cd374674044b1bc15afe37a6b70","320509",c99b6eec9b4d49cd8cde187551c5c060,吴江汇锦针织有限公司,"","320509109","1","00021e68a5a14fc9a94d5d9506f9c610",东方大道777号,admin,admin,2025-01-18,2025-01-18,1,"0","913205096720393898","120.489040","30.806825"
2026-03-16 20:03:11.000,"320500","2f68517d297248a296104f6f1cf488d6","320583","8ae4ca8678fed475017912d55f6c06d6",昆山万金天宇,"320000","320583103","1","0002234452df432ea908f66a07a7b474",金阳东路333号6号房三楼,admin,admin,2022-01-05,2022-01-05,1,"0","91320583MA1Y0EUQ12","",""
2026-03-16 20:03:11.000,"320500","63f943defa774149b800c690587a7525","320581","8ae4ca857e48ace9017e4cff72134708",江苏格雷特复合材料有限公司,,"320581202","0","00023b8c7df04fed946f1f231d5c51d6",王市向阳路19号,admin,admin,2022-01-12,2026-01-01,2,"0","91320581752707375N","120.790866","31.730245"
2026-03-16 20:03:11.000,"320500","4f3b2f7034644ce19c54e626fd896072","320509","8ae4ca8878c5b3d30178d477634c4b50",生产1课,"320000","320509110","1","000260d29df840a4b295b6529fb51afd",临沪经济区临沪大道2099号,admin,admin,2022-01-13,2022-01-13,1,"0","91320509786344760J","120.483000","31.012000"
2026-03-16 20:03:11.000,"320500","7da0d56b5a5345e2b889767dce5c111f","320581","8ae4ca857f0c108d017f1a5f3d566580",常熟市颖睿纺织品有限公司,"320000","320581002","1","0002812a331241d58aa3c1f2fb0fd6cb",阳光大道38号,admin,admin,2022-02-21,2022-02-21,1,"0","91320581MA1NWP336U","120.667070","31.711980"
